steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,60.813,0,0.003566,0.000043,-0.0001,170.158142,-541.397827,1453.881592,0,0,0,1,5739,0.000028,0.001778,-0.000695,2.219089,-0.021686,0.00359,0.000444,0,3901.489418,0,0,-1,-1,0,-1,-1,2535,0
5,60.852,0,0.001754,0.000021,-0.0001,170.158142,-541.397827,1500.434448,0,0,0,1,5743,-0.000012,0.001678,-0.000194,2.21908,-0.021249,0.000256,-0.000055,0,3901.489418,0,0.12093,-0.520154,-1,0.906978,0.999678,-0.998802,2535,0
6,60.894,0,0.001876,0.000023,-0.000149,170.158142,-541.397888,1550.568237,0,0,0,1,5747,-0.000214,0.001572,-0.000701,2.219074,-0.020963,0.000876,-0.00021,0,3901.489418,0,0.242206,-0.040309,-1,0.909565,0.999679,-0.998804,2535,0
7,60.933,0,0.001602,0.000019,-0.000149,170.158142,-541.397888,1597.121094,0,0,0,1,5751,0.001483,0.001003,0.002841,2.219079,-0.020719,0.002792,-0.000339,0,3901.489418,0,0.363252,0.439538,-1,0.907844,0.999681,-0.998754,2535,0
8,60.972,0,0.002539,0.00003,-0.000149,170.158142,-541.397888,1643.674072,0,0,0,1,5755,0.000593,0.001347,0.000686,2.219055,-0.020509,-0.004764,-0.000391,0,3901.489418,0,0.410445,0.916991,-1,0.353946,0.994693,-0.972549,2535,0
9,61.014,0,0.002418,0.000029,-0.000149,170.158142,-541.397888,1693.807861,0,0,0,1,5759,0.002661,0.001197,0.003077,2.219064,-0.020361,0.002926,-0.000814,0,3901.489418,0,0.456661,1,-1,0.346625,0.99488,-0.972659,2535,0
10,61.053,0,0.002408,0.000029,-0.000149,170.158142,-541.397888,1700.919189,0,0,0,1,5763,0.00347,0.000837,0.004513,2.219056,-0.020222,-0.000381,-0.000303,0,3901.489418,0,0.502426,1,-1,0.343232,0.994762,-0.972356,2535,0
11,61.092,0,0.00418,0.00005,-0.000149,170.158142,-541.397888,1700.863037,0,0,0,1,5767,-0.000012,0.001224,0.000488,2.219049,-0.020102,-0.004896,-0.000456,0,3901.489418,0,0.546774,1,-1,0.332613,0.994617,-0.971985,2535,0
12,61.134,0,0.002301,0.000028,-0.000149,170.158142,-541.397888,1700.806152,0,0,0,1,5771,-0.001042,0.000954,-0.001919,2.219058,-0.019999,0.000221,-0.000015,0,3901.489418,0,0.591012,1,-1,0.331788,0.994589,-0.9719,2535,0
13,61.173,0,0.003411,0.000041,-0.000149,170.158142,-541.397888,1700.756836,0,0,0,1,5775,0.000383,0.000956,0.000046,2.219046,-0.019903,-0.004025,-0.00025,0,3901.489418,0,0.635,1,-1,0.329908,0.994424,-0.971909,2535,0
